№;Дата и время;Секунда;Микросекунда
121;2023-04-30 11:22:11.655657;11;655657
122;2023-04-30 11:22:11.671457;11;671457
123;2023-04-30 11:22:11.686920;11;686920
124;2023-04-30 11:22:11.701813;11;701813
125;2023-04-30 11:22:11.716726;11;716726
126;2023-04-30 11:22:11.732022;11;732022
127;2023-04-30 11:22:11.747855;11;747855
128;2023-04-30 11:22:11.763256;11;763256
129;2023-04-30 11:22:11.778324;11;778324
130;2023-04-30 11:22:11.794008;11;794008
131;2023-04-30 11:22:11.809575;11;809575
132;2023-04-30 11:22:11.825246;11;825246
133;2023-04-30 11:22:11.841248;11;841248
134;2023-04-30 11:22:11.857333;11;857333
135;2023-04-30 11:22:11.872547;11;872547
136;2023-04-30 11:22:11.887739;11;887739
137;2023-04-30 11:22:11.902606;11;902606
138;2023-04-30 11:22:11.918089;11;918089
139;2023-04-30 11:22:11.933768;11;933768
140;2023-04-30 11:22:11.949595;11;949595
141;2023-04-30 11:22:11.964534;11;964534
142;2023-04-30 11:22:11.979655;11;979655
143;2023-04-30 11:22:11.995427;11;995427
144;2023-04-30 11:22:12.011035;12;11035
145;2023-04-30 11:22:12.026929;12;26929
146;2023-04-30 11:22:12.043846;12;43846
147;2023-04-30 11:22:12.057415;12;57415
148;2023-04-30 11:22:12.072722;12;72722
149;2023-04-30 11:22:12.088773;12;88773
150;2023-04-30 11:22:12.104591;12;104591
151;2023-04-30 11:22:12.120625;12;120625
152;2023-04-30 11:22:12.136632;12;136632
153;2023-04-30 11:22:12.152632;12;152632
154;2023-04-30 11:22:12.167826;12;167826
155;2023-04-30 11:22:12.183834;12;183834
156;2023-04-30 11:22:12.198949;12;198949
157;2023-04-30 11:22:12.215012;12;215012
158;2023-04-30 11:22:12.230363;12;230363
159;2023-04-30 11:22:12.245829;12;245829
160;2023-04-30 11:22:12.261874;12;261874
161;2023-04-30 11:22:12.277884;12;277884
162;2023-04-30 11:22:12.293057;12;293057
163;2023-04-30 11:22:12.308096;12;308096
164;2023-04-30 11:22:12.323317;12;323317
165;2023-04-30 11:22:12.339022;12;339022
166;2023-04-30 11:22:12.354407;12;354407
167;2023-04-30 11:22:12.369976;12;369976
168;2023-04-30 11:22:12.386109;12;386109
169;2023-04-30 11:22:12.401309;12;401309
170;2023-04-30 11:22:12.416721;12;416721
171;2023-04-30 11:22:12.432211;12;432211
172;2023-04-30 11:22:12.448594;12;448594
173;2023-04-30 11:22:12.462619;12;462619
174;2023-04-30 11:22:12.481456;12;481456
